,i_sensor_1,i_sensor_2,i_sensor_3,o_left,o_right,i_sensor_4,i_sensor_5
0,89,77,200,False,False,82.0,94.0
0,88,74,200,False,True,80.0,87.0
0,86,71,200,False,True,77.0,86.0
0,86,68,200,False,True,74.0,81.0
0,85,64,200,False,True,70.0,80.0
0,99,59,200,False,True,66.0,79.0
0,90,56,200,False,True,63.0,78.0
0,103,53,200,False,True,59.0,77.0
0,103,49,200,False,True,54.0,76.0
0,128,46,100,False,True,50.0,76.0
0,128,45,101,False,True,45.0,75.0
0,161,45,100,False,True,44.0,74.0
0,207,45,97,False,True,42.0,74.0
0,288,45,90,False,True,41.0,74.0
0,600,49,84,False,True,41.0,74.0
0,600,53,80,False,True,42.0,72.0
0,600,57,76,False,True,46.0,75.0
0,600,66,72,False,True,46.0,75.0
0,600,66,70,False,False,48.0,69.0
0,600,67,70,False,False,49.0,68.0
0,600,72,68,False,False,51.0,66.0
0,600,69,67,False,False,53.0,65.0
0,600,65,70,True,False,51.0,62.0
0,600,65,70,False,False,53.0,62.0
0,600,67,69,False,False,54.0,62.0
0,600,67,71,False,False,54.0,60.0
0,600,65,69,False,False,54.0,61.0
0,600,66,70,False,False,54.0,60.0
0,600,68,70,False,False,55.0,60.0
0,600,68,73,False,False,56.0,59.0
0,600,68,75,False,False,56.0,59.0
0,600,65,87,True,False,56.0,52.0
0,600,63,89,False,False,55.0,60.0
0,600,66,94,False,False,55.0,61.0
0,600,62,96,False,False,54.0,63.0
0,600,64,97,False,False,54.0,66.0
0,600,62,98,False,False,54.0,69.0
0,600,61,98,False,False,53.0,72.0
0,600,61,98,False,False,53.0,74.0
0,600,60,97,False,False,52.0,75.0
0,600,61,96,False,False,53.0,78.0
0,600,61,95,False,False,52.0,80.0
0,600,61,95,False,False,52.0,80.0
0,600,59,94,False,False,51.0,80.0
0,600,65,94,False,False,50.0,80.0
0,600,60,92,False,False,51.0,80.0
0,600,60,94,False,False,51.0,80.0
0,600,58,94,False,False,50.0,80.0
0,600,56,94,False,False,50.0,80.0
0,600,56,95,False,False,50.0,80.0
0,600,57,95,False,False,49.0,81.0
0,600,57,93,False,False,50.0,80.0
0,600,57,93,False,False,48.0,80.0
0,600,57,92,False,False,47.0,80.0
0,600,57,92,False,False,48.0,80.0
0,600,63,91,False,False,48.0,80.0
0,600,57,90,False,False,48.0,80.0
0,600,57,90,False,False,48.0,81.0
0,600,58,89,False,False,48.0,80.0
0,600,58,89,False,False,48.0,80.0
0,600,58,88,False,False,48.0,79.0
0,600,58,87,False,False,48.0,78.0
0,600,58,86,False,False,48.0,78.0
0,600,58,85,False,False,49.0,77.0
0,600,58,85,False,False,49.0,69.0
0,600,58,85,False,False,49.0,76.0
0,600,62,84,False,False,49.0,76.0
0,600,58,83,False,False,49.0,75.0
0,600,58,82,False,False,49.0,74.0
0,600,58,81,False,False,49.0,73.0
0,600,58,81,False,False,48.0,73.0
0,600,60,81,False,False,52.0,73.0
0,600,60,81,False,False,49.0,73.0
0,600,60,81,False,False,49.0,72.0
0,600,59,79,False,False,49.0,71.0
0,600,59,78,False,False,49.0,70.0
0,600,70,78,False,False,50.0,70.0
